Year,YearCode,Country Name,Country Code,"Health expenditure per capita, PPP (constant 2005 international $)","GDP per capita, PPP (constant 2005 international $)",GDP growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)","Population, total"
2011,YR2011,Afghanistan,AFG,50.46613988,1234.668561,6.964321643,48.68058537,72.7,101.1,29105480
2011,YR2011,Albania,ALB,565.198434,8015.991176,3,77.04226829,12.8,14.3,3153883
2011,YR2011,Algeria,DZA,373.6131962,7296.365195,2.4,73.07990244,25.6,29.8,37762962
2011,YR2011,American Samoa,ASM,,,,,,,55274
2011,YR2011,Andorra,ADO,3073.260137,,,,2.8,3.3,77865
2011,YR2011,Angola,AGO,214.5766172,5081.803008,3.91856683,51.05931707,96.4,157.6,20180490
2011,YR2011,Antigua and Barbuda,ATG,957.3496413,16989.05667,-2.815131643,,6.4,7.6,88152
2011,YR2011,Argentina,ARG,1433.699641,,,75.79765854,12.6,14.1,40728738
2011,YR2011,Armenia,ARM,249.5442798,5354.33586,4.740266454,73.91602439,15.6,17.5,2964120
2011,YR2011,Aruba,ABW,,,,75.11278049,,,101932
2011,YR2011,Australia,AUS,3691.553991,35052.51318,2.433201512,81.84634146,4.1,4.5,22323900
2011,YR2011,Austria,AUT,4481.583309,36119.40493,2.696403109,81.03170732,3.5,4.2,8423635
2011,YR2011,Azerbaijan,AZE,523.1322678,8884.96549,1,70.65285366,38.5,44.7,9173082
2011,YR2011,"Bahamas, The",BHS,2473.178581,27180.98869,1.659385056,75.45226829,14.1,16.2,366331
2011,YR2011,Bahrain,BHR,825.6242805,,,75.15626829,8.6,10,1292764
2011,YR2011,Bangladesh,BGD,67.26670915,1544.796343,6.708097255,68.93736585,36.7,46,152862431
2011,YR2011,Barbados,BRB,1600.318025,,,76.73921951,17.7,19.7,281804
2011,YR2011,Belarus,BLR,793.455275,13216.24563,5.5,70.65121951,3.9,5.6,9473000
2011,YR2011,Belgium,BEL,4118.981281,33020.43647,1.839811947,80.48536585,3.5,4.3,11047744
2011,YR2011,Belize,BLZ,426.3611086,6642.803486,1.929844536,76.05290244,14.5,16.9,316280
2011,YR2011,Benin,BEN,74.52677352,1330.156363,3.530698244,56.01443902,67.9,106,9779795
2011,YR2011,Bermuda,BMU,,,-2.825643287,79.28853659,,,64564
2011,YR2011,Bhutan,BTN,236.2194595,5365.479733,8.509278093,67.28470732,42,53.7,729429
2011,YR2011,Bolivia,BOL,250.2593973,4399.75442,5.173930422,66.57736585,39.3,50.6,10324445
2011,YR2011,Bosnia and Herzegovina,BIH,928.7758159,7397.578246,1.299999976,75.55285366,6.7,7.7,3839322
2011,YR2011,Botswana,BWA,734.0640737,13917.32015,8.010409772,53.0184878,20.3,25.9,1986701
2011,YR2011,Brazil,BRA,1042.731906,10264.00602,2.732509243,73.43521951,13.9,15.6,196935134
2011,YR2011,Brunei Darussalam,BRN,1295.463988,45642.89065,2.208359322,78.06512195,5.6,7.2,406512
2011,YR2011,Bulgaria,BGR,1063.98622,12009.32751,1.8,74.16341463,10.6,12.1,7348328
2011,YR2011,Burkina Faso,BFA,81.15206112,1219.5063,4.210077721,55.35790244,81.6,146.4,15995313
2011,YR2011,Burundi,BDI,52.38121121,479.3403288,4.191625678,50.33709756,86.3,139.1,9540362
2011,YR2011,Cambodia,KHM,134.9433604,2039.805834,7.069569946,62.97741463,36.2,42.5,14605862
2011,YR2011,Cameroon,CMR,127.920545,1977.362349,4.1,51.57646341,79.2,127.2,21156272
2011,YR2011,Canada,CAN,4519.96091,35738.70366,2.528248552,80.9292439,4.9,5.6,34483975
2011,YR2011,Cape Verde,CPV,171.6893364,3689.725915,5.045877228,73.91678049,18.2,21.3,490556
2011,YR2011,Cayman Islands,CYM,,,,,,,56601
2011,YR2011,Central African Republic,CAF,30.90149548,723.7896652,3.1,48.34560976,108.2,163.5,4436217
2011,YR2011,Chad,TCD,65.48394396,1262.48161,1.6,49.52326829,97.1,169,12080037
2011,YR2011,Channel Islands,CHI,,,,79.97241463,,,160407
2011,YR2011,Chile,CHL,1292.204799,15149.12737,5.850679215,79.0167561,7.7,8.7,17308449
2011,YR2011,China,CHN,432.2819086,7417.887727,9.3,73.48563415,12.6,14.6,1344130000
2011,YR2011,Colombia,COL,617.8873706,8889.739998,6.645328887,73.64190244,15.4,17.7,47078792
2011,YR2011,Comoros,COM,58.75845216,1054.807507,2.227203171,61.04178049,58.8,79.3,700216
2011,YR2011,"Congo, Dem. Rep.",ZAR,32.09124653,349.0065317,6.879666803,48.36931707,110.6,167.7,63931512
2011,YR2011,"Congo, Rep.",COG,108.6422095,3772.176131,3.420621271,57.35619512,63.8,98.8,4225359
