"","iso3c","date","iso2c","country","date_ct","granularity","GB.XPD.RSDV.GD.ZS","IP.JRN.ARTC.SC","NY.GDP.PCAP.PP.CD","SP.POP.TOTL"
"1","ABW","2005","AW","Aruba",2005-01-01,"annual",NA,NA,NA,100031
"2","ABW","2006","AW","Aruba",2006-01-01,"annual",NA,NA,NA,100832
"3","ABW","2007","AW","Aruba",2007-01-01,"annual",NA,NA,NA,101220
"4","ABW","2008","AW","Aruba",2008-01-01,"annual",NA,NA,NA,101353
"5","ABW","2009","AW","Aruba",2009-01-01,"annual",NA,NA,NA,101453
"6","ABW","2010","AW","Aruba",2010-01-01,"annual",NA,NA,NA,101669
"7","ABW","2011","AW","Aruba",2011-01-01,"annual",NA,NA,35973.780509792,102053
"8","ABW","2012","AW","Aruba",2012-01-01,"annual",NA,NA,NA,102577
"9","ABW","2013","AW","Aruba",2013-01-01,"annual",NA,NA,NA,103187
"10","ABW","2014","AW","Aruba",2014-01-01,"annual",NA,NA,NA,103795
"11","AFG","2005","AF","Afghanistan",2005-01-01,"annual",NA,9.4,1011.59552439759,25070798
"12","AFG","2006","AF","Afghanistan",2006-01-01,"annual",NA,10.2,1065.61966514703,25893450
"13","AFG","2007","AF","Afghanistan",2007-01-01,"annual",NA,14.5,1210.4792652894,26616792
"14","AFG","2008","AF","Afghanistan",2008-01-01,"annual",NA,12.5,1247.06614429099,27294031
"15","AFG","2009","AF","Afghanistan",2009-01-01,"annual",NA,23.3,1482.09883711417,28004331
"16","AFG","2010","AF","Afghanistan",2010-01-01,"annual",NA,33.9,1581.60083598967,28803167
"17","AFG","2011","AF","Afghanistan",2011-01-01,"annual",NA,42.7,1660.73985617959,29708599
"18","AFG","2012","AF","Afghanistan",2012-01-01,"annual",NA,35,1873.15394552307,30696958
"19","AFG","2013","AF","Afghanistan",2013-01-01,"annual",NA,27.3,1913.16064351328,31731688
"20","AFG","2014","AF","Afghanistan",2014-01-01,"annual",NA,33.3,1933.39971332575,32758020
"21","AGO","2005","AO","Angola",2005-01-01,"annual",NA,9.9,3516.40265774144,19552542
"22","AGO","2006","AO","Angola",2006-01-01,"annual",NA,13.3,4222.66303265405,20262399
"23","AGO","2007","AO","Angola",2007-01-01,"annual",NA,9.9,5128.36125339137,20997687
"24","AGO","2008","AO","Angola",2008-01-01,"annual",NA,9.9,5743.11004757119,21759420
"25","AGO","2009","AO","Angola",2009-01-01,"annual",NA,14,5718.69440789557,22549547
"26","AGO","2010","AO","Angola",2010-01-01,"annual",NA,15.2,5775.864013056,23369131
"27","AGO","2011","AO","Angola",2011-01-01,"annual",NA,17.8,5911.25433387322,24218565
"28","AGO","2012","AO","Angola",2012-01-01,"annual",NA,22.4,6109.13661230635,25096150
"29","AGO","2013","AO","Angola",2013-01-01,"annual",NA,24.1,6400.6733758948,25998340
